"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\TaskFlow\src\features\boards\components\BoardCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 10, 124
"c:\TaskFlow\src\features\boards\components\BoardCardSkeleton.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\TaskFlow\src\features\boards\components\BoardContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\TaskFlow\src\features\boards\components\BoardContextMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 13, 2, 58
"c:\TaskFlow\src\features\boards\components\BoardGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\TaskFlow\src\features\boards\components\BoardGridLoader.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\TaskFlow\src\features\boards\components\BoardHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 4, 121
"c:\TaskFlow\src\features\boards\components\BoardLoader.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 2, 17
"c:\TaskFlow\src\features\boards\components\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\TaskFlow\src\features\boards\hooks\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\features\boards\hooks\useBoardFilterAndPagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 11, 120
"c:\TaskFlow\src\features\boards\hooks\useCreateBoard.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\TaskFlow\src\features\boards\hooks\useDeleteBoard.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\TaskFlow\src\features\boards\hooks\useGetBoards.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\TaskFlow\src\features\boards\hooks\useUpdateBoard.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\TaskFlow\src\features\boards\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\features\boards\modals\BoardDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 18, 149
"c:\TaskFlow\src\features\boards\modals\CreateBoardModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 9, 142
"c:\TaskFlow\src\features\boards\modals\DeleteBoardModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 9, 118
"c:\TaskFlow\src\features\boards\modals\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\TaskFlow\src\features\boards\store\boardStore.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\TaskFlow\src\features\boards\store\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\features\dashboard\components\DashboardHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 2, 52
"c:\TaskFlow\src\features\dashboard\components\DashboardLoader.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\TaskFlow\src\features\dashboard\components\FilterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 9, 279
"c:\TaskFlow\src\features\dashboard\components\PaginationControl.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"c:\TaskFlow\src\features\dashboard\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\TaskFlow\src\features\dashboard\components\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\features\dashboard\hooks\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\features\dashboard\hooks\useDashboardHandlers.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 9, 62
"c:\TaskFlow\src\features\dashboard\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\features\home\components\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 43
"c:\TaskFlow\src\features\home\components\Advantages.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 38
"c:\TaskFlow\src\features\home\components\Contacts.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 5, 109
"c:\TaskFlow\src\features\home\components\FAQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"c:\TaskFlow\src\features\home\components\Features.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 2, 64
"c:\TaskFlow\src\features\home\components\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"c:\TaskFlow\src\features\home\components\HowItWorks.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\TaskFlow\src\features\home\components\Partners.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"c:\TaskFlow\src\features\home\components\Reviewers.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 2, 33
"c:\TaskFlow\src\features\home\components\Security.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\TaskFlow\src\features\home\components\Slider.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 45
"c:\TaskFlow\src\features\home\components\VerticalGallery.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 13, 165
"c:\TaskFlow\src\features\home\components\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\TaskFlow\src\features\home\data\advantages.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 54
"c:\TaskFlow\src\features\home\data\faqs.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 65
"c:\TaskFlow\src\features\home\data\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\TaskFlow\src\features\home\data\legalLinks.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\TaskFlow\src\features\home\data\logos.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 108
"c:\TaskFlow\src\features\home\data\navLinks.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\TaskFlow\src\features\home\data\privacy.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 68
"c:\TaskFlow\src\features\home\data\reviewers.jsx", "JavaScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 1, 98
"c:\TaskFlow\src\features\home\data\security.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\TaskFlow\src\features\home\data\team.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 40
"c:\TaskFlow\src\features\home\data\terms.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 2, 55
"c:\TaskFlow\src\features\home\data\work.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\TaskFlow\src\features\home\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\features\lib\utils.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\TaskFlow\src\features\tasks\api\createTask.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 16, 8, 54
"c:\TaskFlow\src\features\tasks\api\deleteTask.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
