"filename", "language", "JavaScript JSX", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\TaskFlow\src\utils\date\dateFormatter.js", "JavaScript", 0, -9, 0, 0, 0, -1, -10
"c:\TaskFlow\src\utils\filters\boardFilters.js", "JavaScript", 0, -27, 0, 0, 0, -5, -32
"c:\TaskFlow\src\utils\filters\boardSorts.js", "JavaScript", 0, -36, 0, 0, 0, -5, -41
"c:\TaskFlow\src\utils\responsesHandler\apiResponsesHandler.js", "JavaScript", 0, -66, 0, 0, 0, -11, -77
"c:\TaskFlow\src\utils\toast\showToast.js", "JavaScript", 0, -15, 0, 0, 0, -2, -17
"c:\TaskFlow\src\validators\confirmCodeSchema.js", "JavaScript", 0, -6, 0, 0, 0, -2, -8
"c:\TaskFlow\src\validators\emailSchema.js", "JavaScript", 0, -4, 0, 0, 0, -2, -6
"c:\TaskFlow\src\validators\loginSchema.js", "JavaScript", 0, -7, 0, 0, 0, -3, -10
"c:\TaskFlow\src\validators\passwordResetSchema.js", "JavaScript", 0, -38, 0, 0, 0, -6, -44
"c:\TaskFlow\src\validators\registerSchema.js", "JavaScript", 0, -49, 0, 0, 0, -8, -57
"c:\TaskFlow\src\validators\updateSchema.js", "JavaScript", 0, -12, 0, 0, 0, -2, -14
"Total", "-", -4767, -777, -8, -219, -47, -505, -6323
